price,brand,model,year,condition,kilo_meter,color,power_trans,fuel_type,location
6600000.0,BMW,X6 M,2024,Used,"40,000 KM",Dark blue,Automatic,Gas,Tagamo3 - New Cairo
5600000.0,Mercedes,GLC 200,2026,New,0 KM,Black,Automatic,Gas,Tagamo3 - New Cairo
2000000.0,Cadillac,Escalade,2018,Used,"185,000 KM",Black,Automatic,Diesel,Tagamo3 - New Cairo
2000000.0,Seat,Tarraco,2024,Used,"45,000 KM",Black,Automatic,Gas,Cairo
3650000.0,Jeep,Grand Cherokee,2022,Used,"48,000 KM",White,Automatic,Gas,Cairo
9350000.0,Nissan,Patrol,2026,New,0 KM,Gray,Automatic,Gas,Sheikh Zayed City
4900000.0,Mercedes,E 200,2024,Used,"13,000 KM",Dark blue,Automatic,Gas,Sheikh Zayed City
3700000.0,Mercedes,CLA 200,2026,New,0 KM,Black,Automatic,Gas,Sheikh Zayed City
2850000.0,Mercedes,CLA 200,2024,New,0 KM,White,Automatic,Gas,Sheikh Zayed City
1050000.0,Toyota,Corolla,2020,Used,"44,000 KM",White,Automatic,Gas,Nasr city
1120000.0,Skoda,Octavia,2020,Used,"125,000 KM",Gray,Automatic,Gas,Nasr city
1020000.0,Hyundai,Elantra,2027,New,0 KM,Dark blue,Automatic,Gas,Mohandessin
4350000.0,Mercedes,C 200,2026,New,0 KM,Black,Automatic,Gas,Nasr city
1630000.0,Geely,EX5 EM-i,2027,New,0 KM,Silver,Automatic,Hybrid,Nasr city
7375000.0,Mercedes,GLC 43,2026,New,0 KM,White,Automatic,Gas,Sheikh Zayed City
6050000.0,Mercedes,GLC 300,2026,New,0 KM,Black,Automatic,Gas,Sheikh Zayed City
5950000.0,Audi,Q8,2025,Used,"30,000 KM",Gray,Automatic,Gas,Heliopolis
6900000.0,Mercedes,Viano,2026,New,0 KM,Black,Automatic,Gas,Tagamo3 - New Cairo
9250000.0,BMW,M3,2026,Used,"4,000 KM",Gray,Automatic,Gas,Tagamo3 - New Cairo
5000000.0,Land Rover,Velar,2024,Used,"14,000 KM",Gray,Automatic,Gas,Tagamo3 - New Cairo
4150000.0,Land Rover,Range Rover Sport,2020,Used,"100,000 KM",Black,Automatic,Gas,Tagamo3 - New Cairo
1700000.0,Skoda,Octavia,2023,Used,"15,000 KM",White,Automatic,Gas,Heliopolis
730000.0,MG,5,2021,Used,"116,000 KM",Red,Automatic,Diesel,Mokattam
830000.0,Opel,Mokka,2022,Used,"160,000 KM",Gray,Automatic,Gas,Heliopolis
1650000.0,KGM,Torres,2024,Used,"52,000 KM",Gray,Automatic,Gas,6-Oct
760000.0,Ford,Focus,2018,Used,"55,000 KM",Red,Automatic,Gas,Alexandria
585000.0,Opel,Astra,2017,Used,"135,000 KM",Dark grey,Automatic,Gas,Heliopolis
150000.0,Fiat,Shahin,2006,Used,"80,000 KM",White,Manual,Gas,Maadi
650000.0,Suzuki,Swift Dzire,2022,New,0 KM,Blue,Automatic,Gas,Alexandria
680000.0,Renault,Megane,2019,Used,"140,000 KM",Black,Automatic,Diesel,Giza
580000.0,Chery,Arrizo 5,2023,Used,"86,000 KM",Blue,Manual,Gas,Faisal
1420000.0,Mercedes,180,2014,Used,"122,000 KM",White,Automatic,Diesel,Sheikh Zayed City
720000.0,Nissan,Sunny,2022,Used,"27,000 KM",Black,Automatic,Gas,Mansoura
350000.0,Byd,F3,2015,Used,"180,000 KM",Silver,Automatic,Gas,Hadaeq Al Qubbah
870000.0,Citro雗,C5,2021,Used,"195,000 KM",Gray,Automatic,Gas,Nasr city
1150000.0,Kia,Xceed,2022,Used,"85,000 KM",Gray,Automatic,Gas,Nasr city
1185000.0,Mercedes,GLK 300,2010,Used,"182,000 KM",Other,Automatic,Gas,Alexandria
830000.0,MG,ZS,2022,Used,"130,000 KM",Dark red,Automatic,Gas,Nasr city
545000.0,Kia,Cerato,2011,Used,"340,000 KM",Other,Automatic,Gas,Agamy
4600000.0,Mercedes,GLB 200,2027,New,0 KM,Gray,Automatic,Gas,Nasr city
1780000.0,Toyota,Corolla,2026,New,0 KM,White,Automatic,Gas,Cairo
1890000.0,Hyundai,Tucson GDI,2027,New,0 KM,Gray,Automatic,Gas,Cairo
1750000.0,Mitsubishi,Pajero,2016,Used,"190,000 KM",White,Automatic,Gas,Cairo
2000000.0,Skoda,Superb,2023,Used,"56,000 KM",Dark blue,Automatic,Gas,Cairo
2120000.0,Peugeot,408,2026,Used,"4,000 KM",Dark blue,Automatic,Gas,Cairo
7700000.0,Mercedes,GLC 43,2026,Used,"3,000 KM",Gray,Automatic,Gas,Tagamo3 - New Cairo
2750000.0,Mercedes,GLC 300,2019,Used,"120,000 KM",Black,Automatic,Gas,Sheikh Zayed City
1400000.0,Geely,City Ray,2026,Used,"4,000 KM",Dark blue,Automatic,Gas,Sheikh Zayed City
2400000.0,Volkswagen,Tiguan,2026,Used,0 KM,Black,Automatic,Gas,Giza
1019000.0,Peugeot,2008,2021,Used,"130,000 KM",Silver,Automatic,Gas,6-Oct
660000.0,Citro雗,C Elysee,2021,Used,"112,000 KM",Black,Automatic,Gas,Tagamo3 - New Cairo
150000.0,Seat,Ibiza,1998,Used,"150,000 KM",Green,Automatic,Gas,6-Oct
350000.0,Suzuki,Alto,2019,Used,"33,000 KM",Dark blue,Manual,Gas,Tagamo3 - New Cairo
870000.0,Nissan,Qashqai,2019,Used,"110,000 KM",Red,Automatic,Gas,Tagamo3 - New Cairo
430000.0,Byd,F3,2019,Used,"280,000 KM",Bronze,Manual,Gas,Cairo
490000.0,Chevrolet,Aveo,2019,Used,"152,000 KM",Red,Automatic,Gas,6-Oct
650000.0,Opel,Crossland,2018,Used,145 KM,Dark blue,Automatic,Gas,El Haram
2150000.0,Kia,Sportage,2024,Used,"10,000 KM",White,Automatic,Gas,10th of Ramadan
555000.0,Suzuki,S-cross,2015,Used,"165,000 KM",Silver,Automatic,Diesel,Cairo
5150000.0,Land Rover,Range Rover Sport,2021,Used,"64,000 KM",Black,Automatic,Gas,Nasr city
780000.0,Fiat,Tipo,2022,Used,"90,000 KM",Dark blue,Automatic,Gas,El Shorouk
890000.0,Nissan,Sentra,2025,Used,"3,000 KM",Gray,Automatic,Gas,Heliopolis
250000.0,Daihatsu,Gran max,2011,Used,0 KM,White,Manual,Diesel,Cairo
1300000.0,Changan,UNI-T,2025,New,0 KM,Black,Automatic,Gas,Tagamo3 - New Cairo
280000.0,Daewoo,Nubira 2,1999,Used,"170,000 KM",Black,Automatic,Gas,Giza
5700000.0,Mercedes,GLC 300,2027,New,0 KM,Black,Automatic,Gas,Tagamo3 - New Cairo
520000.0,Jac,J7,2022,Used,"128,000 KM",White,Automatic,Gas,Nasr city
2399990.0,Peugeot,3008,2026,New,0 KM,Dark blue,Automatic,Gas,Mohandessin
1970000.0,Tesla,Model S,2018,Used,"58,000 KM",Black,Automatic,Electric,Madinaty
1350000.0,Chrysler,Town & Country,2006,Used,"47,000 KM",Silver,Automatic,Gas,Tagamo3 - New Cairo
1050000.0,BMW,318,2018,Used,"160,000 KM",Gray,Automatic,Gas,El Haram
2550000.0,Mercedes,C 180,2022,Used,"28,000 KM",Silver,Automatic,Gas,Tagamo3 - New Cairo
1900000.0,BMW,520,2018,Used,"140,000 KM",Black,Automatic,Gas,Tagamo3 - New Cairo
160000.0,Hyundai,Excel,1993,Used,"360,000 KM",Blue,Automatic,Gas,El Haram
60000.0,Citro雗,Ax,1996,Used,0 KM,Green,Manual,Gas,Faiyum
890000.0,Ds,DS3,2021,Used,"85,000 KM",Green,Automatic,Gas,Nasr city
660000.0,Alfa Romeo,Mito,2016,Used,"140,000 KM",Red,Automatic,Gas,Cairo
1850000.0,Mercedes,C 180,2019,Used,"147,000 KM",Gray,Automatic,Gas,6-Oct
5800000.0,Maserati,Grecale,2025,Used,"1,300 KM",Black,Automatic,Gas,Sheikh Zayed City
14500000.0,Maserati,GranCabrio,2024,New,0 KM,Gray,Automatic,Gas,Northern Coast
3650000.0,Mercedes,E 200,2022,Used,"4,000 KM",Black,Automatic,Gas,Sheikh Zayed City
2000000.0,Mercedes,C 180,2018,Used,"160,000 KM",White,Automatic,Gas,Maadi
5200000.0,Mercedes,GLC 300,2025,Used,"25,000 KM",Gray,Automatic,Gas,Tagamo3 - New Cairo
5100000.0,Toyota,Prado,2021,Used,"27,000 KM",Black,Automatic,Gas,Tagamo3 - New Cairo
820000.0,Renault,Kadjar,2019,Used,"100,000 KM",Silver,Automatic,Gas,Tagamo3 - New Cairo
1370000.0,Volkswagen,Golf 6,2022,Used,"50,000 KM",Yellow,Automatic,Gas,Tagamo3 - New Cairo
550000.0,Toyota,Corolla,2008,Used,"216,000 KM",Blue,Automatic,Gas,Cairo
695000.0,Renault,Megane,2022,Used,"160,000 KM",Black,Automatic,Gas,6-Oct
1149000.0,Hyundai,Tucson GDI,2017,Used,"120,000 KM",Gray,Automatic,Gas,6-Oct
3950000.0,Mercedes,GLC 300,2023,Used,"60,000 KM",Black,Automatic,Gas,Tagamo3 - New Cairo
1360000.0,Toyota,Corolla,2026,New,0 KM,Gray,Automatic,Gas,Nasr city
1100000.0,Hyundai,Elantra,2027,New,0 KM,Silver,Automatic,Gas,Nasr city
785000.0,Chery,Arrizo 5,2027,New,0 KM,Silver,Automatic,Gas,Nasr city
1840000.0,Hyundai,Tucson GDI,2026,New,0 KM,White,Automatic,Gas,Nasr city
835000.0,Chevrolet,Optra,2027,New,0 KM,Silver,Automatic,Gas,Cairo
2900000.0,Mercedes,E 300,2021,Used,"113,000 KM",Blue,Automatic,Gas,Tagamo3 - New Cairo
1500000.0,Volvo,XC60,2019,Used,"200,000 KM",White,Automatic,Gas,Nasr city
985000.0,Renault,Megane,2023,Used,"130,000 KM",Black,Automatic,Gas,Nasr city
945000.0,Kaiyi,X3 Pro,2026,New,0 KM,Gray,Automatic,Gas,Nasr city
700000.0,Hyundai,Accent RB,2017,Used,180 KM,Red,Automatic,Gas,El Qobba Bridge
230000.0,Daewoo,Leganza,2002,Used,"269,312 KM",Black,Automatic,Gas,Helwan
280000.0,Chevrolet,Aveo,2008,Used,"277,000 KM",Gray,Manual,Gas,Miamy
280000.0,Chevrolet,Aveo,2008,Used,277 KM,Gray,Manual,Gas,Alasafra
420000.0,Renault,Sandero,2016,Used,"158,000 KM",Red,Automatic,Gas,Cairo
700000.0,Opel,Astra,2020,Used,"88,000 KM",Silver,Automatic,Gas,Giza
560000.0,DFSK,EAGLE 580,2019,Used,"252,000 KM",Blue,Automatic,Natural Gas,6-Oct
460000.0,Renault,Megane,2012,Used,"85,000 KM",Blue,Manual,Gas,Nasr city
430000.0,Renault,Duster,2016,Used,"270,000 KM",Dark grey,Manual,Gas,Cairo
610000.0,Renault,Duster,2017,Used,"175,000 KM",Petroleum,Manual,Gas,Red Sea
840000.0,Hyundai,Accent RB,2026,Used,"25,000 KM",Gray,Automatic,Gas,Cairo
650000.0,Changan,CS 15,2022,Used,"75,000 KM",Dark blue,Automatic,Gas,Mansoura
660000.0,Nissan,Juke,2014,Used,0 KM,White,Automatic,Gas,Tanta
250000.0,Toyota,Echo,2000,Used,"375,000 KM",Black,Manual,Diesel,10th of Ramadan
825000.0,Renault,Sandero Step Way,2022,Used,"2,000 KM",Gray,Automatic,Gas,Nasr city
950000.0,Jeep,Renegade,2020,Used,"147,000 KM",White,Automatic,Gas,Sheikh Zayed City
838000.0,Fiat,Tipo,2021,Used,"120,000 KM",Purple,Automatic,Gas,Madinaty
